Date,Open,High,Low,Close,Adj Close,Volume
2023-06-13,2063.100098,2067.300049,2046.040039,2065.729980,2065.729980,181600
2023-06-14,2064.489990,2070.979980,2052.530029,2061.169922,2061.169922,140700
2023-06-15,2057.100098,2078.270020,2050.010010,2051.659912,2051.659912,200900
2023-06-16,2065.929932,2065.929932,2031.739990,2032.920044,2032.920044,343900
2023-06-20,2035.959961,2056.969971,2034.680054,2049.800049,2049.800049,246700
2023-06-21,2064.689941,2092.510010,2058.939941,2074.479980,2074.479980,336800
2023-06-22,2069.000000,2070.050049,2040.969971,2050.520020,2050.520020,258800
2023-06-23,2037.719971,2059.090088,2037.010010,2043.680054,2043.680054,721200
2023-06-26,2044.969971,2053.989990,2024.819946,2032.310059,2032.310059,248800
2023-06-27,2044.439941,2071.530029,2033.050049,2066.729980,2066.729980,223400
2023-06-28,2071.929932,2116.340088,2069.899902,2101.489990,2101.489990,246100
2023-06-29,2103.270020,2124.989990,2102.889893,2110.600098,2110.600098,219600
2023-06-30,2125.000000,2144.169922,2115.050049,2139.000000,2139.000000,271000
2023-07-03,2138.000000,2147.520020,2119.050049,2123.540039,2123.540039,155600
2023-07-05,2117.139893,2125.000000,2110.030029,2120.709961,2120.709961,150700
2023-07-06,2108.489990,2114.300049,2092.429932,2093.370117,2093.370117,168700
2023-07-07,2080.919922,2091.620117,2071.120117,2077.459961,2077.459961,229000
2023-07-10,2074.870117,2098.800049,2074.870117,2093.090088,2093.090088,169000
2023-07-11,2094.830078,2106.389893,2051.570068,2053.280029,2053.280029,255900
2023-07-12,2069.489990,2082.739990,2058.250000,2076.000000,2076.000000,164800
2023-07-13,2085.199951,2088.800049,2046.930054,2048.860107,2048.860107,225000
2023-07-14,2058.169922,2078.239990,2033.770020,2055.979980,2055.979980,258800
2023-07-17,2064.550049,2130.000000,2062.949951,2127.510010,2127.510010,342000
2023-07-18,2152.699951,2173.629883,2119.989990,2153.199951,2153.199951,293400
2023-07-19,2165.010010,2175.010010,2138.050049,2139.129883,2139.129883,235200
2023-07-20,2128.000000,2135.000000,2084.429932,2094.709961,2094.709961,292800
2023-07-21,2114.290039,2130.139893,2086.439941,2098.870117,2098.870117,284700
2023-07-24,2104.320068,2107.860107,2043.780029,2082.989990,2082.989990,313300
2023-07-25,2088.350098,2104.929932,2086.050049,2092.340088,2092.340088,215300
2023-07-26,2091.850098,2100.040039,2065.010010,2087.860107,2087.860107,478800
2023-07-27,1925.020020,1949.989990,1872.640015,1882.979980,1882.979980,1369200
2023-07-28,1898.209961,1918.640015,1877.650024,1912.520020,1912.520020,687400
2023-07-31,1925.560059,1975.170044,1916.810059,1962.280029,1962.280029,489100
2023-08-01,1949.839966,1973.160034,1946.040039,1955.000000,1955.000000,308200
2023-08-02,1944.520020,1964.410034,1935.540039,1936.859985,1936.859985,295500
2023-08-03,1926.449951,1946.099976,1918.449951,1922.920044,1922.920044,275700
2023-08-04,1935.800049,1935.800049,1890.229980,1890.609985,1890.609985,360100
2023-08-07,1893.270020,1897.290039,1882.310059,1890.000000,1890.000000,200800
2023-08-08,1880.000000,1884.000000,1852.670044,1861.349976,1861.349976,246900
2023-08-09,1862.170044,1867.979980,1844.199951,1850.569946,1850.569946,212800
2023-08-10,1856.819946,1866.660034,1841.170044,1845.709961,1845.709961,191600
2023-08-11,1845.689941,1856.339966,1839.640015,1846.550049,1846.550049,209200
